Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist,-1,"Who you are
The first Data Scientist at Finrise will play an imperative role in enabling patient financing for out-of-pocket healthcare expenses. You recognize that 56% of Americans with a less than ideal FICO Score need new ways to evaluate creditworthiness in efficient and holistic ways. You’re excited about tackling technical problems that most wouldn’t dare touch. Working with unstructured and nontraditional data doesn’t scare you. Data science, predictive models, and statistics are second nature. You excel in building machine learning systems, conducting foolproof analyses, and leading cross functional projects. While banks are busy evaluating 30-year-old FICO scores, created before a time of the internet and smartphones, you’re building models which will decide who to lend to in real-time. Instead of hiring hundreds of people to manually review, you’re adding new data points to ensure accurate scoring. You’re hands-on, creative, and hyper-analytical. You understand that the ultimate measurement of success is enabling patients to afford care in a time of need, with a fair rate, in terms they understand. At the end of the day, you want to change the way credit is evaluated.",5.0,Finrise,"Burlingame, CA","1 to 50 Employees
Founded
2015",2015,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Machine Learning Engineer / Data Scientist,$108K - $168K (Glassdoor est.),"Summary
Posted: Jan 19, 2021
Role Number:200209698
As a Machine Learning Engineer / Data Scientist within the Ground Truth Systems Team, you will be part of a team building infrastructure and tools for exciting new technologies that will shape our future. We build web services that work at scale to support new products and also enable Machine Learning development workflows. We are looking for a Machine learning (ML) engineer with a broad experience and knowledge in machine/deep learning and computer vision. You will be part of every stage of development from concept to deployment. The Engineer will be working on cutting edge problems in efficient data annotation building ML models that assist humans in reducing labeling efforts without sacrificing quality.The candidate should be proficient in the theoretical fundamentals of the above areas with experience in applying them to solve real-world problems.",4.3,Apple,"San Diego, CA","10000+ Employees
Founded
1976",1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
"Data Scientist, Analytics",$141K - $155K (Glassdoor est.),"About the Team
The Analytics team is looking for experienced Data Scientists to guide measurement, strategy, and tactical decision-making across the company across a variety of teams and levels. Data Scientists at DoorDash work to uncover insights and turn them into relevant recommendations, driving decisions for the entire organization. Analytics is integral to all operational areas at DoorDash. Please apply here for all non-managerial levels within the following analytics teams:
Growth - Consumer
Growth - Marketing
Logistics & Platform
Merchant & Sales
New Business Verticals
Operational Excellence - Customer Experience
Operational Excellence - Fraud
About the Roles
As a Data Scientist at DoorDash, you'll use your quantitative background to mentor other scientists and dive into large datasets to guide decision-making. We tackle a multitude of exciting challenges including customer acquisition, fraud and support, marketing, balancing supply and demand, new city launches, marketplace efficiency, and more. If you enjoy finding patterns amidst chaos, and have experience using analytics to affect revenue, growth, operations or beyond, we’re looking for someone like you! You’re excited about this opportunity because you will …
Use quantitative analysis and the presentation of data to see beyond the numbers and understand what drives our business
Build full-cycle analytics experiments, reports, and dashboards using SQL, R, Python, or other scripting and statistical tools
Work alongside of mentor junior analysts on how to use more advanced methods and solve challenges
Produce recommendations and use statistical techniques and hypothesis testing to validate your findings.
Provide insights to help business and product leaders understand marketplace dynamics, user behaviors, and long-term trends
Identify and measure levers to help move essential metrics and make recommendations
Work backwards from understanding and sizing problems to ideating solutions
Report against our goals by identifying essential metrics and building executive-facing dashboards to track progress
Collaborate with engineering to implement, document, validate, and monitor our logging We’re excited about you because you have…
A degree in Math, Physics, Statistics, Economics, Computer Science, or similar domain
5+ years of experience in data analytics, consulting, or related quantitative role
Experience working with funnel optimization, user segmentation, cohort analyses, time series analyses, regression models, etc
Expertise of SQL queries, ETL, A/B Testing, and statistical analysis (e.g. hypothesis testing, experimentation, regressions) with statistical packages, such as Matlab, R, SAS or Python
Proficiency in one or more analytics & visualization tools (e.g. Chartio, Looker, Tableau)
The insight to take ambiguous problems and solve them in a structured, hypothesis-driven, data-supported way
The determination to initiate and lead projects to completion in a scrappy environment Why You’ll Love Working at DoorDash
We are leaders - Leadership is not limited to our management team. It’s something everyone at DoorDash embraces and embodies
We are doers - We believe the only way to predict the future is to build it. Creating solutions that will lead our company and our industry is what we do -- on every project, every day
We are learners - We’re not afraid to dig in and uncover the truth, even if it’s scary or inconvenient. Everyone here is continually learning on the job, no matter if we’ve been in a role for one year or one minute
We are customer obsessed - Our mission is to grow and empower local economies. We are committed to our customers, merchants, and dashers and believe in connecting people with possibility
We are all DoorDash - The magic of DoorDash is our people, together making our inspiring goals attainable and driving us to greater heights
We offer great compensation packages and comprehensive health benefits About DoorDash
DoorDash is a technology company that connects customers with their favorite local and national businesses in over 4,000 cities and all 50 states across the United States and Canada. Founded in 2013, DoorDash empowers merchants to grow their businesses by offering on-demand delivery, data-driven insights, and better in-store efficiency, providing delightful experiences from door to door. By building the last-mile delivery infrastructure for local cities, DoorDash is bringing communities closer, one doorstep at a time. Read more on the DoorDash Engineering blog or at www.doordash.com . Our Commitment to Diversity and Inclusion
We’re committed to growing and empowering a more inclusive community within our company, industry, and cities. That’s why we hire and cultivate diverse teams of the best and brightest from all backgrounds, experiences, and perspectives. We believe that true innovation happens when everyone has room at the table and the tools, resources, and opportunity to excel.",4.0,DoorDash,"San Francisco, CA","1001 to 5000 Employees
Founded
2013",2013,Company - Public,IT Services,Information Technology,Unknown / Non-Applicable
Data Scientist,-1,"About Lark
Lark is the world's largest A.I.-enabled healthcare provider, delivering virtual care and connected health devices that help people stay in control of conditions such as diabetes and heart disease. We're on a mission to improve the health and happiness of the 1 billion people globally who are living with or at-risk for a chronic health condition. Our A.I. enabled programs were the first to achieve clinical outcomes matching those of in-person healthcare professionals, showing the ability to deliver care at a fraction of the cost and at enormous scale. Since launching in 2015, Lark has received awards and accolades including:
Fierce Healthcare's ""15 Most Promising Companies in Healthcare""
Business Insider's ""Most Innovative Companies in the World"" along with Uber and Airbnb
Apple's ""Top 10 Apps"" in the World",4.5,Lark Health,California,"51 to 200 Employees
Founded
2011",2011,Company - Private,Health Care Services & Hospitals,Health Care,$25 to $50 million (USD)
Data Scientist,-1,"What will be your mission?
At Sony Pictures, our mission is to map relevant movie and TV series content to consumers and audiences across transactional, subscription and linear viewing platforms. We’re building data products and visualization tools and insights platform that will predict audience preferences and behaviour for library and new releases to drive growth of engagement and consumption of Sony produced content. Sony produces franchise brands such as Spiderman, Men in Black and Jumanji, through to TV franchises such as Breaking Bad, Blacklist and Better Call Saul.
Our Data team is responsible for aggregating millions of consumer data points to best in class predictive models, consumer trends systems, recommendation engines and more!
Who are you?",4.0,"Sony Pictures Entertainment, Inc.","Culver City, CA","5001 to 10000 Employees
Founded
1989",1989,Subsidiary or Business Segment,Motion Picture Production & Distribution,Media,$5 to $10 billion (USD)
Data Scientist,$124K - $199K (Glassdoor est.),"Waymo is an autonomous driving technology company with a mission to make it safe and easy for people and things to get where they’re going. Since our start as the Google Self-Driving Car Project in 2009, Waymo has been focused on building the World’s Most Experienced Driver in hopes of improving the world's access to mobility while saving thousands of lives now lost to traffic crashes. Our Waymo Driver powers Waymo One, our fully autonomous ride-hailing service, as well as Waymo Via, our trucking and local delivery service. To date, Waymo has driven over 20 million miles autonomously on public roads across 25 U.S. cities and conducted over 20 billion miles of simulation testing.
Data Science builds the brains of Waymo's fully autonomous driving technology. Our software allows the Waymo Driver to perceive the world around it make the right decision for every situation, and deliver people safely to their destinations. We think deeply and solve complex technical challenges in areas like robotics, perception, decision-making and deep learning, while collaborating with hardware and systems engineers. If you’re a software engineer or researcher who’s curious and passionate about Level 4 autonomous driving, we'd like to meet you.",4.1,Waymo,"Mountain View, CA","Unknown
Founded
2009",2009,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
"Data Scientist, Charging Data & Modeling",-1,"Role
We are the team that uses data analytics to bridge the engineering, service, and deployment of Tesla’s charging infrastructure and to enhance the charging experience worldwide.
With over 18,000 Superchargers and several thousand destination charging sites around the world, Tesla’s charging infrastructure aims to accelerate the world’s transition to sustainable transportation by enabling electric mobility without compromises.
We use large-scale data analysis, machine learning, and modeling to retrieve actionable insights for enhancing the charging experience while minimizing the costs to Tesla. We also build the software tools and pipelines needed to maximize the leverage of these insights across our global operations.



Employee Benefits",3.8,Tesla,"Palo Alto, CA","10000+ Employees
Founded
2003",2003,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$2 to $5 billion (USD)
Data Scientist,-1,"About the team

ScaleMonk is building a brand new commercial product that helps mobile-first companies scale distribution while maintaining a target return. By collecting post-install data from its clients, ScaleMonk is able to optimize in real-time the ad spend that goes to different campaigns across hundreds of mobile advertising channels.

We track 1.8 billion device profiles and handle 1,000,000 ad requests per second with a 1 ms response time. We train ML models to directly control millions of dollars of ad spend.

We have a small, tightly focused engineering team. We do daily stand-ups often followed by design jams with people focused on a common part of the project. Source code control is via git.

About the Role

This role has enormous impact. We are seeking experienced Data Scientists who are excited to work on very challenging problems and producing exceptional results. Data scientists at ScaleMonk understand the business context of their work, conceptualize solutions, extract and prepare data, create visualizations, develop models, write production-ready code, deploy algorithms and track their performance. The models we build are extreme and we go to great lengths to get a little extra performance. We are looking for the kind of person who wins Kaggle contests, not the kind of person who builds a model that is ""good enough"". You will work on a team with industry veterans.



You'll be challenged with solving extremely hard problems from scratch. You'll be motivated by the value you generate to the business, not just the accuracy of your models. You'll also be an excellent teammate and strong collaborator with all members of the team.",5.0,ScaleMonk,"Palo Alto, CA","1 to 50 Employees
Founded
2015",2015,Company - Private,IT Services,Information Technology,$100 to $500 million (USD)
Data Scientist I,$92K - $112K (Glassdoor est.),"Position Purpose: Responsible for advanced and predictive data analytics using big data and data science technology for healthcare innovation. Perform analysis using data science techniques on structured and unstructured data sets, and develop algorithms for targeted business needs.
Designs and develops data models to predict member outcomes or future impact of key member decisions.
Design and construct analysis tools that extract, and analyze data and store analytical results in an appropriate format for business needs.
Conduct exploratory data analysis from complex data sources and build key data sets to support company mission operational analysis.
Evaluate and design experiments to monitor key metrics and identify improvement opportunities.",3.5,Medicare,"Woodland Hills, CA","10000+ Employees
Founded
1984",1984,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD)
"Data Scientist, Analytics and Insights",$112K - $186K (Glassdoor est.),"Our Company

Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences! We’re passionate about empowering people to create beautiful and powerful images, videos, and apps, and transform how companies interact with customers across every screen.

We’re on a mission to hire the very best and are committed to creating exceptional employee experiences where everyone is respected and has access to equal opportunity. We realize that new ideas can come from everywhere in the organization, and we know the next big idea could be yours!",4.4,Adobe,"San Francisco, CA","10000+ Employees
Founded
1982",1982,Company - Public,Computer Hardware & Software,Information Technology,$5 to $10 billion (USD)
"Data Scientist, Operations Analytics",-1,"About Extend:

Extend is modernizing the $100 billion-per year extended warranty and protection plan industry with new cutting-edge technology and top-notch customer servicing. With a $40M Series B round of funding, we are ready to continue scaling our organization.

Our API-first solution allows any merchant to offer extended warranties and protection plans, both online and offline, while also providing a merchant's end customers with a vastly improved and modern support experience that eliminates many of the issues customers face today with legacy underwriters.

We are a venture-backed startup based in downtown San Francisco (and since COVID began, fully remote) that is headed by founders who have previously led multiple successful exits. Extend is simplifying the technology stack for the extended warranty industry in the same ways that Stripe did for online payments and Affirm did for consumer point-of-sale financing.",4.7,Extend,"San Francisco, CA","51 to 200 Employees
Founded
2019",2019,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Data Scientist (Digital Analytics & Monetization),-1,"PlayStation isn't just the Best Place to Play —it's also the Best Place to Work. We've thrilled gamers since 1994, when we launched the original PlayStation. Today, we're recognized as a global leader in interactive and digital entertainment. The PlayStation brand falls under Sony Interactive Entertainment, a wholly-owned subsidiary of Sony Corporation.

Data Scientist (Digital Analytics & Monetization)

San Mateo, CA

*Please include a Cover Letter with your application.

As Sony Interactive Entertainment continues to help third party partners drive engagement and revenue on the PlayStation platform, our Digital Analytics and Monetization team is looking for a talented Data Scientist.

The position is based out of the San Mateo office and involves close coordination with members of the Third Party Relations teams in Japan, US, and London. You will report to the Head of the Global Digital Analytics and Monetization Group and will drive end-to-end analysis through your past impactful analytical experience with large datasets and passion for the industry to help internal stakeholders drive Third Party partner strategy.

The team needs a self-starter who can set direction for influential user-behavior projects with the Third Party Relations team to anticipate and answer user-level business questions from senior-level business managers (internally and externally) to provide analytical support where necessary.

These projects will help us guide our partners on short-term game specific insights and long-term portfolio strategy which would include:
LI-SV1",4.0,Sony PlayStation,"San Mateo, CA","5001 to 10000 Employees
Founded
1994",1994,Subsidiary or Business Segment,Video Games,Media,$10+ billion (USD)
Data Scientist,-1,"Who we are:

Apixio augments the ability to decipher and understand patient information. This translates into better care delivery, lower costs, and streamlined processes. We process millions of patients every year and we're growing not only in the number of patients but also the kind of data we analyze. Come help us improve healthcare with technology!

About the Role

We are changing the way healthcare uses data. About 80% of healthcare data is under used because it is too messy or unstructured to analyze. The healthcare industry needs technology solutions that can process this data and extract insights. This is the challenge that Apixio addresses.

Apixio augments the ability to decipher and understand patient information. This translates into better care delivery, lower costs, and streamlined processes. We process millions of patients every year and we're growing not only in the number of patients but also the kind of data we analyze. Come help us improve healthcare with technology!

We are looking for a motivated data scientist to improve our industry leading algorithms in risk adjustment and help us evolve our products and models to the next level in performance. This is a critical role where the right candidate will have the ability to work on industry leading risk adjustment algorithms and help drive efficiencies across the industry and improve the lives of millions of patients.



Improving healthcare outcomes requires access to the right data at the right time. Apixio is advancing value-based care with data-driven intelligence and analytics. Our AI solutions for risk, quality, and clinical insights unlock actionable information from administrative data and unstructured clinical information. The results drive better clinical decision-making and a smarter approach to healthcare.

Our success is driven by a team of experienced, passionate, and fun engineers, data scientists, and business professionals working to solve complex problems with innovative AI technologies and techniques. Over the past year, we grew our client base by 20%, serving dozens of large health plans and provider groups nationwide. We're backed by top venture capital firms such as Bain Capital and SSM Partners, and led by a seasoned team of healthcare and technology experts.",4.5,Apixio,"San Francisco, CA","51 to 200 Employees
Founded
2009",2009,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD)
"Data Scientist, Machine Learning",-1,"Data Scientist, Machine Learning

The Moveworks Data Science and Engineering team is looking for an experienced and accomplished senior ML data scientist to solve complex product and content problems using machine learning and other quantitative approaches to increase user engagement and drive innovation in the search product.

As we scale globally, there's plenty of space for you to grow with us. You'll be part of a team that thinks in terms of We, not I. Together, we're focused on simplifying the lives of 1 billion knowledge workers by giving them an effortless, magical way to resolve their issues, powered by AI.

Who we are:


Moveworks is redefining how companies support their employees with an AI platform that resolves their problems at work instantly and autonomously. Included on the prestigious Forbes AI 50 list and named a leader in The Forrester New Wave, Moveworks uses advanced natural language understanding (NLU) to resolve support issues, straight on collaboration hubs like Slack and Microsoft Teams.

We're doing this for IT today, and for the entire enterprise in the near future. This is a unique chance to join the team at an early stage as a key player in our growth strategy. If that sounds like fun, we can't wait to start this journey together.",4.8,Moveworks,"Mountain View, CA","201 to 500 Employees
Founded
2016",2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Scientist,-1,"Palo Alto, CA
Step is a next-generation financial services company building the best banking experience to help teens and young adults achieve financial independence and knowledge at an earlier age. Step’s mission is to create a bank that gives you the tools to become smarter with your money and reward you along your financial journey. Step is a well-funded Series B company focused on disrupting banking through a differentiated mobile-first consumer experience. The founding team has an extensive background in FinTech and building successful consumer products and brands. If you’re looking to join a fast-growing company with a strong mission and vision that puts people first, we want to meet you.
The Role
Step is looking for an experienced Data Scientist working on all parts of the business: Risk, Growth, Customer Experience to name a few.",4.2,Step Mobile,"Palo Alto, CA","1 to 50 Employees
Founded
2018",2018,-1,-1,-1,Unknown / Non-Applicable
"Data Scientist, Forecasting",$130K - $207K (Glassdoor est.),"We’re looking for a data scientist to help us forecast Pinterest’s most critical metrics, from user growth to revenue. You will work closely with product, data science and business groups to understand and model both the underlying mechanics of the business, and the effect of exogenous factors. The ideal candidate will possess both strong technical and communication skills; able to explain complex models to leadership in product, engineering, and business teams.
The output of your models will provide context for product and business performance management and serve as an input into the company’s top-line goals. You will also contribute to internal forecast tooling, methods, and infrastructure.
What you’ll do:
Progressively translate components of Pinterest’s business-model into time-series ML models",4.1,Pinterest,"San Francisco, CA","1001 to 5000 Employees
Founded
2010",2010,Company - Public,Internet,Information Technology,$100 to $500 million (USD)
"Data Scientist (Remote OK, US Only)",-1,"About Lark
Lark is the world's largest A.I.-enabled healthcare provider, delivering virtual care and connected health devices that help people stay in control of conditions such as diabetes and heart disease. We're on a mission to improve the health and happiness of the 1 billion people globally who are living with or at-risk for a chronic health condition. Our A.I. enabled programs were the first to achieve clinical outcomes matching those of in-person healthcare professionals, showing the ability to deliver care at a fraction of the cost and at enormous scale. Since launching in 2015, Lark has received awards and accolades including:
Fierce Healthcare's ""15 Most Promising Companies in Healthcare""
Business Insider's ""Most Innovative Companies in the World"" along with Uber and Airbnb",4.5,Lark Health,California,"51 to 200 Employees
Founded
2011",2011,Company - Private,Health Care Services & Hospitals,Health Care,$25 to $50 million (USD)
Data Scientist - Analytics,$121K - $195K (Glassdoor est.),"Wealthfront is the leader in the vision to deliver financial optimization and automation to everyone. Data and its proper use is crucial to that vision and the data science team plays a fundamental role in understanding and interpreting those data sources.

The Wealthfront data science team creates data products to deliver optimized and personalized financial advice, develops best in class investment algorithms, and analyzes our rich financial and behavioral data to make key business decisions. The team draws from a variety of backgrounds in Computer Science & Engineering, Statistics, Economics, Math, Operations Research, and Financial Engineering. We derive strength from this diversity and are constantly learning and teaching each other in a down-to-earth and dynamic environment. We are neither too big where you would be just another cog in the system, nor are we too small that none of our efforts can be realized.

We are seeking an analytics data scientist to join the Wealthfront data science team. The primary responsibility of this role is to provide statistical and machine learning expertise to either the growth or marketing areas of the company. Your focus will span topics related to a/b experimentation, dashboarding/visualizations, and model building with an emphasis on interpretability and actionable insights. The ideal candidate will interface with the areas and address their business needs while maintaining the rigors of a sound technical analysis.",4.4,Wealthfront,"Palo Alto, CA","51 to 200 Employees
Founded
2011",2011,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable
